;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
UF;COD_MUNICIPIO;NOME_MUNICIPIO;MRG;ZP;MODULO_FISCAL_ha;ZTM_IE 50/97;FMP_ha;AREAS_ESPECIAIS;;;;;;;;;;;;;
RO;1100015;ALTA FLORESTA D'OESTE;006;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1100023;ARIQUEMES;003;3;60;C1-7;4;A, PA;;;;;;;;;;;;;
RO;1100031;CABIXI;008;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1100049;CACOAL;006;3;60;C1-7;4;A, PA;;;;;;;;;;;;;
RO;1100056;CEREJEIRAS;008;3;60;C1-7;4;A, F;;;;;;;;;;;;;
RO;1100064;COLORADO DO OESTE;008;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1100072;CORUMBIARA;008;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1100080;COSTA MARQUES;002;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1100098;ESPIGÃO D'OESTE;006;3;60;C1-7;4;A, PA;;;;;;;;;;;;;
RO;1100106;GUAJARÁ-MIRIM;002;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1100114;JARU;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
RO;1100122;JI-PARANÁ;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
RO;1100130;MACHADINHO D'OESTE;003;3;60;C1-7;4;A, PA;;;;;;;;;;;;;
RO;1100148;NOVA BRASILÂNDIA D'OESTE;005;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1100155;OURO PRETO DO OESTE;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
RO;1100189;PIMENTA BUENO;007;3;60;B3-6;4;A, F, PA;;;;;;;;;;;;;
RO;1100205;PORTO VELHO;001;3;60;A2-2;2;A, F, PA, C;;;;;;;;;;;;;
RO;1100254;PRESIDENTE MÉDICI;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
RO;1100262;RIO CRESPO;003;3;60;C1-7;4;A, PA;;;;;;;;;;;;;
RO;1100288;ROLIM DE MOURA;006;3;60;C1-7;4;A, F;;;;;;;;;;;;;
RO;1100296;SANTA LUZIA D'OESTE;006;3;60;C1-7;4;A, F;;;;;;;;;;;;;
RO;1100304;VILHENA;007;3;60;B3-6;4;A, F, PA;;;;;;;;;;;;;
RO;1100320;SÃO MIGUEL DO GUAPORÉ;005;3;60;C1-7;4;A, F;;;;;;;;;;;;;
RO;1100338;NOVA MAMORÉ;001;3;60;A2-2;2;A, F, PA;;;;;;;;;;;;;
RO;1100346;ALVORADA D'OESTE;005;3;60;C1-7;4;A, F;;;;;;;;;;;;;
RO;1100379;ALTO ALEGRE DO PARECIS;006;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1100403;ALTO PARAÍSO;003;3;60;C1-7;4;A, PA;;;;;;;;;;;;;
RO;1100452;BURITIS;001;3;60;A2-2;2;A, F, PA;;;;;;;;;;;;;
RO;1100502;NOVO HORIZONTE DO OESTE;006;3;60;C1-7;4;A, F;;;;;;;;;;;;;
RO;1100601;CACAULÂNDIA;003;3;60;C1-7;4;A;;;;;;;;;;;;;
RO;1100700;CAMPO NOVO DE RONDÔNIA;001;3;60;A2-2;2;A, F, PA;;;;;;;;;;;;;
RO;1100809;CANDEIAS DO JAMARI;001;3;60;A2-2;2;A, PA;;;;;;;;;;;;;
RO;1100908;CASTANHEIRAS;006;3;60;C1-7;4;A, PA;;;;;;;;;;;;;
RO;1100924;CHUPINGUAIA;007;3;60;B3-6;4;A, F, PA;;;;;;;;;;;;;
RO;1100940;CUJUBIM;001;3;60;A2-2;2;A, PA;;;;;;;;;;;;;
RO;1101005;GOVERNADOR JORGE TEIXEIRA;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
RO;1101104;ITAPUÃ DO OESTE;001;3;60;A2-2;2;A, PA;;;;;;;;;;;;;
RO;1101203;MINISTRO ANDREAZZA;006;3;60;C1-7;4;A;;;;;;;;;;;;;
RO;1101302;MIRANTE DA SERRA;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
RO;1101401;MONTE NEGRO;003;3;60;C1-7;4;A, PA;;;;;;;;;;;;;
RO;1101435;NOVA UNIÃO;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
RO;1101450;PARECIS;007;3;60;B3-6;4;A, F, PA;;;;;;;;;;;;;
RO;1101468;PIMENTEIRAS DO OESTE;008;3;60;C1-7;4;A, F;;;;;;;;;;;;;
RO;1101476;PRIMAVERA DE RONDÔNIA;007;3;60;B3-6;4;A, F, PA;;;;;;;;;;;;;
RO;1101484;SÃO FELIPE D' OESTE;007;3;60;B3-6;4;A, F, PA;;;;;;;;;;;;;
RO;1101492;SÃO FRANCISCO DO GUAPORÉ;002;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1101500;SERINGUEIRAS;005;3;60;C1-7;4;A, F, PA;;;;;;;;;;;;;
RO;1101559;TEIXEIRÓPOLIS;004;3;60;B2-5;3;A;;;;;;;;;;;;;
RO;1101609;THEOBROMA;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
RO;1101708;URUPÁ;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
RO;1101757;VALE DO ANARI;003;3;60;C1-7;4;A, PA;;;;;;;;;;;;;
RO;1101807;VALE DO PARAÍSO;004;3;60;B2-5;3;A, PA;;;;;;;;;;;;;
AC;1200013;ACRELÂNDIA;004;3;100;B2-5;3;A, F, PA;;;;;;;;;;;;;
AC;1200054;ASSIS BRASIL;005;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200104;BRASILÉIA;005;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200138;BUJARI;004;3;70;B2-5;3;A, F, PA;;;;;;;;;;;;;
AC;1200179;CAPIXABA;004;3;70;B2-5;3;A, F, PA;;;;;;;;;;;;;
AC;1200203;CRUZEIRO DO SUL;001;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200252;EPITACIOLÂNDIA;005;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200302;FEIJÓ;002;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200328;JORDÃO;002;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200336;MÂNCIO LIMA;001;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200344;MANOEL URBANO;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200351;MARECHAL THAUMATURGO;001;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200385;PLÁCIDO DE CASTRO;004;3;100;B2-5;3;A, F, PA;;;;;;;;;;;;;
AC;1200393;PORTO WALTER;001;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200401;RIO BRANCO;004;3;70;B2-5;3;A, F, PA, C;;;;;;;;;;;;;
AC;1200427;RODRIGUES ALVES;001;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200435;SANTA ROSA DO PURUS;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200450;SENADOR GUIOMARD;004;3;100;B2-5;3;A, F, PA;;;;;;;;;;;;;
AC;1200500;SENA MADUREIRA;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200609;TARAUACÁ;002;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200708;XAPURI;005;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AC;1200807;PORTO ACRE;004;3;70;B2-5;3;A, F, PA;;;;;;;;;;;;;
AM;1300029;ALVARÃES;005;3;100;C1-7;4;A;;;;;;;;;;;;;
AM;1300060;AMATURÁ;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1300086;ANAMÃ;006;3;100;C1-7;4;A;;;;;;;;;;;;;
AM;1300102;ANORI;006;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1300144;APUÍ;013;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1300201;ATALAIA DO NORTE;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1300300;AUTAZES;007;3;80;A1-1;2;A, PA;;;;;;;;;;;;;
AM;1300409;BARCELOS;001;3;100;C1-7;4;A, F;;;;;;;;;;;;;
AM;1300508;BARREIRINHA;010;3;80;C1-7;4;A;;;;;;;;;;;;;
AM;1300607;BENJAMIN CONSTANT;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1300631;BERURI;006;3;80;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1300680;BOA VISTA DO RAMOS;010;3;80;C1-7;4;A;;;;;;;;;;;;;
AM;1300706;BOCA DO ACRE;011;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1300805;BORBA;013;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1300839;CAAPIRANGA;006;3;80;C1-7;4;A;;;;;;;;;;;;;
AM;1300904;CANUTAMA;012;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1301001;CARAUARI;004;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1301100;CAREIRO;007;3;80;A1-1;2;A, PA;;;;;;;;;;;;;
AM;1301159;CAREIRO DA VÁRZEA;007;3;80;A1-1;2;A;;;;;;;;;;;;;
AM;1301209;COARI;006;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1301308;CODAJÁS;006;3;100;C1-7;4;A;;;;;;;;;;;;;
AM;1301407;EIRUNEPÉ;004;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1301506;ENVIRA;004;3;100;C1-7;4;A, F;;;;;;;;;;;;;
AM;1301605;FONTE BOA;003;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1301654;GUAJARÁ;004;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1301704;HUMAITÁ;013;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1301803;IPIXUNA;004;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1301852;IRANDUBA;007;3;80;A1-1;2;A, PA;;;;;;;;;;;;;
AM;1301902;ITACOATIARA;009;3;80;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1301951;ITAMARATI;004;3;100;C1-7;4;A;;;;;;;;;;;;;
AM;1302009;ITAPIRANGA;009;3;80;C1-7;4;A;;;;;;;;;;;;;
AM;1302108;JAPURÁ;002;3;100;C2-8;5;A, F;;;;;;;;;;;;;
AM;1302207;JURUÁ;004;3;100;C1-7;4;A;;;;;;;;;;;;;
AM;1302306;JUTAÍ;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1302405;LÁBREA;012;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1302504;MANACAPURU;007;3;80;A1-1;2;A, PA;;;;;;;;;;;;;
AM;1302553;MANAQUIRI;007;3;80;A1-1;2;A, PA;;;;;;;;;;;;;
AM;1302603;MANAUS;007;3;10;A1-1;2;A, PA, C;;;;;;;;;;;;;
AM;1302702;MANICORÉ;013;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1302801;MARAÃ;002;3;100;C2-8;5;A, PA;;;;;;;;;;;;;
AM;1302900;MAUÉS;010;3;80;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1303007;NHAMUNDÁ;010;3;80;C1-7;4;A, F;;;;;;;;;;;;;
AM;1303106;NOVA OLINDA DO NORTE;009;3;80;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1303205;NOVO AIRÃO;001;3;100;C1-7;4;A;;;;;;;;;;;;;
AM;1303304;NOVO ARIPUANÃ;013;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1303403;PARINTINS;010;3;80;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1303502;PAUINI;011;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1303536;PRESIDENTE FIGUEIREDO;008;3;80;C2-8;5;A, PA;;;;;;;;;;;;;
AM;1303569;RIO PRETO DA EVA;008;3;80;C2-8;5;A, PA;;;;;;;;;;;;;
AM;1303601;SANTA ISABEL DO RIO NEGRO;001;3;100;C1-7;4;A, F;;;;;;;;;;;;;
AM;1303700;SANTO ANTÔNIO DO IÇÁ;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1303809;SÃO GABRIEL DA CACHOEIRA;001;3;100;C1-7;4;A, F;;;;;;;;;;;;;
AM;1303908;SÃO PAULO DE OLIVENÇA;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1303957;SÃO SEBASTIÃO DO UATUMÃ;010;3;80;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1304005;SILVES;009;3;80;C1-7;4;A;;;;;;;;;;;;;
AM;1304062;TABATINGA;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
AM;1304104;TAPAUÁ;012;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1304203;TEFÉ;005;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1304237;TONANTINS;003;3;100;C1-7;4;A, F;;;;;;;;;;;;;
AM;1304260;UARINI;005;3;100;C1-7;4;A, PA;;;;;;;;;;;;;
AM;1304302;URUCARÁ;010;3;80;C1-7;4;A, F;;;;;;;;;;;;;
AM;1304401;URUCURITUBA;009;3;80;C1-7;4;A;;;;;;;;;;;;;
RR;1400027;AMAJARI;001;3;80;B2-5;3;A, F, PA;;;;;;;;;;;;;
RR;1400050;ALTO ALEGRE;001;3;80;B2-5;3;A, F, PA;;;;;;;;;;;;;
RR;1400100;BOA VISTA;001;3;80;B2-5;3;A, F, PA, C;;;;;;;;;;;;;
RR;1400159;BONFIM;002;3;80;C2-8;5;A, F, PA;;;;;;;;;;;;;
RR;1400175;CANTÁ;002;3;80;C2-8;5;A, F, PA;;;;;;;;;;;;;
RR;1400209;CARACARAÍ;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
RR;1400233;CAROEBE;004;3;100;C2-8;5;A, F, PA;;;;;;;;;;;;;
RR;1400282;IRACEMA;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
RR;1400308;MUCAJAÍ;003;3;100;C1-7;4;A, F, PA;;;;;;;;;;;;;
RR;1400407;NORMANDIA;002;3;80;C2-8;5;A, F;;;;;;;;;;;;;
RR;1400456;PACARAIMA;001;3;80;B2-5;3;A, F;;;;;;;;;;;;;
RR;1400472;RORAINÓPOLIS;004;3;100;C2-8;5;A, F, PA;;;;;;;;;;;;;
RR;1400506;SÃO JOÃO DA BALIZA;004;3;100;C2-8;5;A, F, PA;;;;;;;;;;;;;
RR;1400605;SÃO LUIZ;004;3;100;C2-8;5;A, F, PA;;;;;;;;;;;;;
RR;1400704;UIRAMUTÃ;002;3;80;C2-8;5;A, F;;;;;;;;;;;;;
PA;1500107;ABAETETUBA;011;4;70;B2-5;3;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1500131;ABEL FIGUEIREDO;017;4;70;B3-6;4;A;PA-MARABA;;;;;;;;;;;;
PA;1500206;ACARÁ;012;4;50;B3-6;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1500305;AFUÁ;005;4;70;C1-7;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1500347;ÁGUA AZUL DO NORTE;019;4;70;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1500404;ALENQUER;002;3;75;B2-5;3;A, F, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1500503;ALMEIRIM;003;3;70;C1-7;4;A, F;PA-SANTAREM;;;;;;;;;;;;
PA;1500602;ALTAMIRA;015;3;75;B2-5;3;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1500701;ANAJÁS;005;4;70;C1-7;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1500800;ANANINDEUA;007;3;7;A1-1;2;A, M, PA;PA-BELEM;;;;;;;;;;;;
PA;1500859;ANAPU;015;4;70;B2-5;3;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1500909;AUGUSTO CORRÊA;010;3;55;B3-6;4;A, L, PA;PA-BELEM;;;;;;;;;;;;
PA;1500958;AURORA DO PARÁ;013;4;55;B3-6;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1501006;AVEIRO;014;3;75;B2-5;3;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1501105;BAGRE;004;4;70;C1-7;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1501204;BAIÃO;011;4;70;B2-5;3;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1501253;BANNACH;018;3;75;C1-7;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1501303;BARCARENA;007;4;70;A1-1;2;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1501402;BELÉM;007;3;5;A1-1;2;A, M, C, PA;PA-BELEM;;;;;;;;;;;;
PA;1501451;BELTERRA;002;3;75;B2-5;3;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1501501;BENEVIDES;007;3;7;A1-1;2;A, M;PA-BELEM;;;;;;;;;;;;
PA;1501576;BOM JESUS DO TOCANTINS;017;4;70;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1501600;BONITO;010;3;55;B3-6;4;A;PA-BELEM;;;;;;;;;;;;
PA;1501709;BRAGANÇA;010;3;55;B3-6;4;A, L, PA;PA-BELEM;;;;;;;;;;;;
PA;1501725;BRASIL NOVO;015;3;75;B2-5;3;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1501758;BREJO GRANDE DO ARAGUAIA;020;4;70;B2-5;3;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1501782;BREU BRANCO;016;4;70;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1501808;BREVES;005;4;70;C1-7;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1501907;BUJARU;008;4;55;B2-5;3;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1501956;CACHOEIRA DO PIRIÁ;013;3;75;B3-6;4;A, L, PA;PA-BELEM;;;;;;;;;;;;
PA;1502004;CACHOEIRA DO ARARI;006;5;65;B3-6;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1502103;CAMETÁ;011;4;70;B2-5;3;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1502152;CANAÃ DOS CARAJÁS;019;4;70;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1502202;CAPANEMA;010;3;55;B3-6;4;A;PA-BELEM;;;;;;;;;;;;
PA;1502301;CAPITÃO POÇO;013;4;55;B3-6;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1502400;CASTANHAL;008;3;55;B2-5;3;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1502509;CHAVES;006;5;65;B3-6;4;A, L, PA;PA-BELEM;;;;;;;;;;;;
PA;1502608;COLARES;009;3;55;C1-7;4;A;PA-BELEM;;;;;;;;;;;;
PA;1502707;CONCEIÇÃO DO ARAGUAIA;022;4;75;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1502756;CONCÓRDIA DO PARÁ;012;4;55;B3-6;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1502764;CUMARU DO NORTE;018;3;75;C1-7;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1502772;CURIONÓPOLIS;019;4;70;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1502806;CURRALINHO;005;4;70;C1-7;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1502855;CURUÁ;002;3;75;B2-5;3;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1502905;CURUÇÁ;009;3;55;C1-7;4;A, L, PA;PA-BELEM;;;;;;;;;;;;
PA;1502939;DOM ELISEU;017;4;55;B3-6;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1502954;ELDORADO DO CARAJÁS;019;4;70;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1503002;FARO;001;3;75;C1-7;4;A, F, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1503044;FLORESTA DO ARAGUAIA;022;4;75;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1503077;GARRAFÃO DO NORTE;013;4;55;B3-6;4;A;PA-BELEM;;;;;;;;;;;;
PA;1503093;GOIANÉSIA DO PARÁ;017;4;55;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1503101;GURUPÁ;004;4;70;C1-7;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1503200;IGARAPÉ-AÇU;010;3;55;B3-6;4;A;PA-BELEM;;;;;;;;;;;;
PA;1503309;IGARAPÉ-MIRI;011;4;70;B2-5;3;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1503408;INHANGAPI;008;3;55;B2-5;3;A;PA-BELEM;;;;;;;;;;;;
PA;1503457;IPIXUNA DO PARÁ;013;4;55;B3-6;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1503507;IRITUIA;013;4;55;B3-6;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1503606;ITAITUBA;014;3;75;B2-5;3;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1503705;ITUPIRANGA;016;4;70;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1503754;JACAREACANGA;014;3;75;B2-5;3;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1503804;JACUNDÁ;016;4;70;B3-6;4;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1503903;JURUTI;001;3;75;C1-7;4;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1504000;LIMOEIRO DO AJURU;011;4;70;B2-5;3;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1504059;MÃE DO RIO;013;4;55;B3-6;4;A;PA-BELEM;;;;;;;;;;;;
PA;1504109;MAGALHÃES BARATA;009;3;55;C1-7;4;A;PA-BELEM;;;;;;;;;;;;
PA;1504208;MARABÁ;020;4;70;B2-5;3;A, PA;PA-MARABA;;;;;;;;;;;;
PA;1504307;MARACANÃ;009;3;55;C1-7;4;A, L, PA;PA-BELEM;;;;;;;;;;;;
PA;1504406;MARAPANIM;009;3;55;C1-7;4;A, L;PA-BELEM;;;;;;;;;;;;
PA;1504422;MARITUBA;007;3;7;A1-1;2;A, M;PA-BELEM;;;;;;;;;;;;
PA;1504455;MEDICILÂNDIA;015;3;70;B2-5;3;A, PA;PA-SANTAREM;;;;;;;;;;;;
PA;1504505;MELGAÇO;004;4;70;C1-7;4;A, PA;PA-BELEM;;;;;;;;;;;;
PA;1504604;MOCAJUBA;011;4;70;B2-5;3;A, PA;PA-BELEM;;;;;;;;;;;;
